X,Y,ID
6890.108696,4627.663043,1
6684.673913,4414.891304,2
6802.065217,4062.717391,3
6956.141304,4341.521739,4
7161.576087,4128.75,5
8856.413043,4121.413043,6
8775.706522,3879.293478,7
8614.293478,3578.478261,8
8555.597826,3285,9
8284.130435,3204.293478,10
8115.380435,2998.858696,11
7829.23913,2932.826087,12
7741.195652,2668.695652,13
7858.586957,1846.956522,14
7946.630435,1590.163043,15
7880.597826,1406.73913,16
7829.23913,1032.554348,17
7829.23913,827.1195652,18
7704.51087,636.3586957,19
9347.98913,4275.48913,20
