urlID,Ruler,Denomination,Mat,x,y
322611,BODVOC,Unit (silver),AgCu,444999.8046,208999.2511
322612,NULL,Unit (silver),AgCu,444999.0895,208999.7781
322613,ANTED (Dobunni),Unit (silver),AgCu,445000.9431,208999.8558
322614,EISV,Unit (silver),AgCu,393000.7964,207999.6463
322615,NULL,Unit (silver),AgCu,451999.8964,192000.3368
322616,NULL,Unit (silver),AgCu,409000.2231,160999.1625
322619,NULL,Unit (silver),AgCu,459000.4021,209000.1757
322624,NULL,Unit (silver),AgCu,416000.1102,276000.8501
322626,NULL,Unit (silver),AgCu,393000.767,207999.5752
322631,NULL,Unit (silver),AgCu,420000.4532,240999.1511
322632,NULL,Unit (silver),AgCu,444999.538,209000.2065
322633,NULL,Unit (silver),AgCu,445000.4494,209000.5325
322634,ANTED (Dobunni),Unit (silver),AgCu,444999.6397,209000.4542
322635,NULL,Unit (silver),AgCu,445000.4659,209000.3639
322636,EISV,Unit (silver),AgCu,393000.5361,208000.1828
322637,NULL,Unit (silver),AgCu,444999.1275,208999.3505
322638,NULL,Unit (copper alloy),AgCu,445000.8344,209000.0014
322640,NULL,Unit (silver),AgCu,440000.5426,229999.4439
322641,BODVOC,Unit (silver),AgCu,444999.4406,209000.5254
322642,EISV,Unit (silver),AgCu,445000.1158,209000.7371
322646,NULL,Unit (silver),AgCu,447000.1902,226999.974
322649,BODVOC,Unit (silver),AgCu,445000.4938,209000.8194
322650,CATTI,Stater (copper alloy),AgCu,390999.8596,214999.6044
322653,NULL,Unit (silver),AgCu,384999.1561,160999.3397
322654,BODVOC,Unit (silver),AgCu,453000.3155,198999.7181
322657,NULL,Unit (silver),AgCu,445000.4361,208999.5511
322664,BODVOC,Unit (silver),AgCu,445000.672,199999.5574
322665,NULL,Unit (silver),AgCu,439999.393,229999.0584
322669,EISV,Unit (silver),AgCu,413000.8148,233999.605
322670,EISV,Unit (silver),AgCu,409000.9594,231000.5781
322671,NULL,Unit (silver),AgCu,398000.8274,177000.3208
322672,NULL,Unit (silver),AgCu,460999.6124,196000.6218
322673,NULL,Unit (silver),AgCu,460999.4698,196000.7626
322674,NULL,Unit (silver),AgCu,391000.2016,215000.4266
322675,EISV,Unit (silver),AgCu,460999.9802,196000.1184
322678,NULL,Unit (silver),AgCu,454000.8193,205999.199
322679,NULL,Unit (silver),AgCu,458999.9501,208999.165
322680,EISV,Unit (silver),AgCu,448999.3074,207000.6744
322684,NULL,Unit (silver),AgCu,414000.9038,237999.3926
322685,NULL,Unit (copper alloy),AgCu,414000.6813,237999.9464
322687,NULL,Unit (silver),AgCu,403999.0049,235999.2007
322688,NULL,Unit (silver),AgCu,403999.4404,235999.6482
322690,NULL,Unit (silver),AgCu,404000.9973,235999.7139
322691,NULL,Unit (silver),AgCu,404000.617,235999.4807
322692,NULL,Unit (silver),AgCu,403999.4175,235999.8665
322700,NULL,Unit (silver),AgCu,411999.008,208999.7077
322701,ANTED (Dobunni),Unit (silver),AgCu,444999.8807,209000.2162
322702,EISV,Unit (silver),AgCu,444999.0617,208999.5244
322704,NULL,Unit (silver),AgCu,445000.934,200000.6945
322705,NULL,Unit (silver),AgCu,452000.3147,161000.7362
322706,ANTED (Dobunni),Unit (silver),AgCu,462999.936,201000.7087
322707,NULL,Unit (silver),AgCu,463000.3884,201000.6939
322710,NULL,Unit (silver),AgCu,452999.9286,198999.185
322711,NULL,Unit (silver),AgCu,401999.3283,223999.9558
322712,NULL,Unit (silver),AgCu,411999.3409,208999.711
322713,ANTED (Dobunni),Unit (silver),AgCu,444999.693,209000.0902
322715,NULL,Unit (copper alloy),AgCu,404000.7023,168000.9303
322718,NULL,Unit (copper alloy),AgCu,406999.395,225000.846
322719,NULL,Unit (copper alloy),AgCu,407000.8883,225000.4426
322721,NULL,Unit (silver),AgCu,467999.603,211999.3327
322723,NULL,Unit (silver),AgCu,391000.8581,214999.7219
322724,NULL,Unit (silver),AgCu,392999.7659,208000.4222
322730,NULL,Unit (silver),AgCu,444999.6179,209000.9711
322733,EISV,Unit (silver),AgCu,404000.8819,236000.1621
322734,NULL,Unit (silver),AgCu,412000.0699,192000.0409
322735,EISV,Unit (silver),AgCu,392999.8063,207999.1803
322736,EISV,Unit (silver),AgCu,411035.3247,196713.4126
322739,NULL,Unit (silver),AgCu,454000.2596,205999.9899
322740,NULL,Unit (silver),AgCu,454000.2671,205999.1191
322741,NULL,Unit (silver),AgCu,439999.34,179000.1331
322742,NULL,Unit (silver),AgCu,439999.0275,179000.4951
322743,NULL,Unit (silver),AgCu,440000.6355,178999.8344
322744,NULL,Unit (silver),AgCu,440000.0661,179000.9378
322745,NULL,Unit (silver),AgCu,409000.5723,155999.9464
322746,BODVOC,Stater (copper alloy),AgCu,433000.4949,144999.2379
322748,NULL,Unit (silver),AgCu,411999.5013,191999.9708
322749,EISV,Unit (copper alloy),AgCu,444999.7885,199999.4945
322755,NULL,Unit (silver),AgCu,444999.437,209000.56
322759,NULL,Unit (silver),AgCu,452999.5313,198999.2873
322760,NULL,Stater (copper alloy),AgCu,453000.3373,199000.9221
322762,EISV,Unit (silver),AgCu,452999.5826,199000.7332
322763,NULL,Unit (silver),AgCu,452999.0976,198999.1604
322764,NULL,Unit (silver),AgCu,433000.7606,145000.2294
322765,NULL,Unit (silver),AgCu,460000.1036,205000.2036
322766,NULL,Unit (silver),AgCu,459999.112,205000.2546
322767,NULL,Unit (silver),AgCu,460000.8338,205000.2034
322768,NULL,Unit (silver),AgCu,460000.1284,205000.5556
322774,NULL,Unit (silver),AgCu,444000.6801,247999.0248
322775,NULL,Unit (silver),AgCu,449000.5275,206999.7925
322776,NULL,Unit (silver),AgCu,408999.4534,208999.0745
322777,NULL,Unit (silver),AgCu,444999.5565,209000.0943
322778,NULL,Unit (silver),AgCu,408999.7813,209000.7292
322779,EISV,Unit (silver),AgCu,391000.0535,215000.593
322780,EISV,Stater (copper alloy),AgCu,408999.5205,209000.6488
322781,BODVOC,Unit (silver),AgCu,444999.8575,209000.5094
322783,ANTED (Dobunni),Unit (silver),AgCu,429999.0283,224000.5381
322784,NULL,Unit (silver),AgCu,410999.8859,247000.8239
322787,NULL,Unit (silver),AgCu,408999.4291,208999.4544
322788,NULL,Unit (silver),AgCu,409000.7463,208999.1651
322789,NULL,Unit (silver),AgCu,398000.4596,177000.5402
322790,BODVOC,Unit (silver),AgCu,437000.0361,201999.5646
322791,NULL,Unit (silver),AgCu,437000.694,201999.6133
322792,NULL,Unit (silver),AgCu,455000.3774,277999.2796
322793,NULL,Unit (silver),AgCu,441999.6133,127000.6652
322794,NULL,Unit (silver),AgCu,444999.3755,199999.3562
322796,NULL,Unit (silver),AgCu,391000.4469,215000.5649
322798,ANTED (Dobunni),Unit (silver),AgCu,412999.3857,234000.4122
322799,NULL,Unit (silver),AgCu,409000.9404,209000.3248
322800,EISV,Unit (silver),AgCu,412000.1487,191999.9756
322801,NULL,Unit (silver),AgCu,412000.9681,192000.4344
322803,EISV,Unit (silver),AgCu,392999.6998,208000.543
322804,NULL,Unit (silver),AgCu,443000.113,157999.7618
322805,NULL,Unit (silver),AgCu,408999.9118,209000.2465
322806,NULL,Unit (silver),AgCu,412000.067,192000.3375
322808,NULL,Unit (silver),AgCu,479000.8971,106000.0857
322810,NULL,Unit (silver),AgCu,461000.2612,195999.4601
322811,EISV,Unit (silver),AgCu,408999.2007,208999.2978
322816,EISV,Stater (copper alloy),AgCu,387110.4493,212089.2736
322817,NULL,Stater (copper alloy),AgCu,469999.3652,253000.8297
322826,NULL,Stater (copper alloy),AgCu,404000.4018,235999.6879
322830,EISV,Unit (silver),AgCu,392999.7777,208000.4948
322831,NULL,Unit (silver),AgCu,408999.893,209000.6871
322832,NULL,Unit (silver),AgCu,474000.6758,198000.977
322833,NULL,Unit (silver),AgCu,440810.6936,230969.3786
322835,NULL,Unit (silver),AgCu,424999.3594,173999.9868
322836,NULL,Unit (silver),AgCu,393000.5096,207999.6972
322837,NULL,Unit (copper alloy),AgCu,408999.5538,208999.5231
322838,NULL,Unit (silver),AgCu,390999.2311,215000.4899
322839,NULL,Unit (copper alloy),AgCu,408999.6826,209000.7744
322840,NULL,Unit (silver),AgCu,411699.6864,196200.2462
322856,NULL,Unit (silver),AgCu,473999.1981,197999.2367
322857,NULL,Unit (copper alloy),AgCu,473999.6724,197999.0519
322858,NULL,Unit (copper alloy),AgCu,474000.6077,198000.0928
322859,NULL,Unit (silver),AgCu,453999.5915,203999.2691
322860,NULL,Unit (silver),AgCu,380000.6717,221000.3326
322863,NULL,Unit (silver),AgCu,452999.9811,199000.252
322864,NULL,Unit (silver),AgCu,453000.08,198999.3935
322865,NULL,Unit (silver),AgCu,453000.4931,199000.7163
322866,NULL,Unit (silver),AgCu,452999.0834,198999.8678
322867,NULL,Unit (silver),AgCu,453000.3045,198999.8687
322869,NULL,Unit (silver),AgCu,403999.6363,236000.0393
322870,NULL,Unit (silver),AgCu,403999.4238,236000.9247
322871,NULL,Unit (copper alloy),AgCu,404000.0087,236000.722
322872,ANTED (Dobunni),Unit (silver),AgCu,440000.6078,199999.1003
322873,NULL,Unit (silver),AgCu,453999.9333,187000.1941
322878,NULL,Half unit (silver),AgCu,398000.7865,165999.9597
322890,NULL,Unit (silver),AgCu,426000.1195,149999.0993
322893,EISV,Stater (copper alloy),AgCu,386389.9064,212200.3322
322894,ANTED (Dobunni),Unit (silver),AgCu,401000.2833,162999.7402
322895,EISV,Unit (silver),AgCu,400000.429,167000.5535
322898,NULL,Unit (silver),AgCu,389999.7174,198000.9833
322899,NULL,Unit (silver),AgCu,411999.5132,192000.8396
322900,ANTED (Dobunni),Unit (silver),AgCu,445000.8385,208999.8077
322901,NULL,Unit (silver),AgCu,408999.851,208999.4075
322903,NULL,Unit (silver),AgCu,406999.3157,248000.6725
322906,NULL,Unit (copper alloy),AgCu,373000.7035,179999.7713
322923,NULL,Unit (silver),AgCu,460999.0574,196000.9686
322937,NULL,Unit (silver),AgCu,424999.223,152999.9977
322938,NULL,Unit (silver),AgCu,424999.8984,153000.2258
322939,ANTED (Dobunni),Unit (silver),AgCu,424999.9804,153000.6141
322940,NULL,Unit (copper alloy),AgCu,444999.867,209000.287
322947,NULL,Unit (silver),AgCu,446999.9178,174999.3202
322951,NULL,Unit (silver),AgCu,460999.4891,195999.8199
322952,NULL,Unit (silver),AgCu,463000.5379,201000.3749
322954,NULL,Unit (silver),AgCu,437999.6193,185000.0136
322955,NULL,Unit (silver),AgCu,437999.3998,184999.9448
322957,NULL,Unit (silver),AgCu,425000.593,153000.8138
322958,NULL,Unit (silver),AgCu,424999.5417,153000.6576
322959,NULL,Unit (silver),AgCu,445000.1002,199999.8433
322970,ANTED (Dobunni),Unit (silver),AgCu,411999.0134,208999.3226
322972,NULL,Unit (silver),AgCu,393000.3354,207999.6261
322973,NULL,Unit (silver),AgCu,393000.2642,208000.9717
322974,NULL,Unit (silver),AgCu,392999.6563,207999.2092
322975,NULL,Unit (silver),AgCu,392999.8425,208000.0784
322976,EISV,Unit (copper alloy),AgCu,420000.3497,238999.9378
322984,NULL,Unit (copper alloy),AgCu,495000.9931,166999.0458
322985,NULL,Unit (copper alloy),AgCu,494999.1169,166999.9205
322991,NULL,Unit (silver),AgCu,439999.2095,179000.182
322992,NULL,Unit (silver),AgCu,440000.2793,178999.6543
322993,NULL,Unit (silver),AgCu,439999.6752,179000.5764
322994,NULL,Unit (silver),AgCu,439999.0018,179000.316
322996,NULL,Unit (silver),AgCu,444999.9805,208999.1881
322997,NULL,Unit (silver),AgCu,408999.229,209000.2624
323003,NULL,Unit (silver),AgCu,452999.0513,161999.2421
323004,NULL,Unit (silver),AgCu,439999.4674,166000.627
323006,NULL,Unit (silver),AgCu,408999.3099,161000.4005
323007,NULL,Unit (silver),AgCu,418000.8112,247000.8622
323008,NULL,Unit (silver),AgCu,418000.0768,247000.1511
323010,NULL,Unit (silver),AgCu,394999.0262,194999.1531
323013,NULL,Unit (silver),AgCu,505999.582,133000.185
323014,NULL,Unit (silver),AgCu,422000.2213,214500.1142
323015,NULL,Unit (silver),AgCu,374500.8777,213900.3111
323018,NULL,Unit (silver),AgCu,422000.4427,214499.1827
323019,NULL,Unit (silver),AgCu,378999.2347,154999.6444
323021,NULL,Unit (silver),AgCu,374500.3423,213900.4947
323023,NULL,Unit (silver),AgCu,374499.6029,213899.3734
323026,NULL,Unit (silver),AgCu,374500.5725,213899.8644
323027,NULL,Unit (silver),AgCu,374499.6978,213899.1968
323028,NULL,Unit (silver),AgCu,381999.7495,134999.8143
323030,NULL,Unit (silver),AgCu,382000.9262,135000.4898
323031,NULL,Unit (silver),AgCu,393699.3666,168800.9337
323032,NULL,Unit (silver),AgCu,374499.4547,213899.3961
323033,NULL,Unit (silver),AgCu,422000.3362,214500.1271
323034,NULL,Unit (silver),AgCu,382000.2504,135000.8182
323035,NULL,Unit (silver),AgCu,430000.1008,171999.1746
323036,NULL,Unit (silver),AgCu,381999.676,134999.1517
323037,NULL,Unit (silver),AgCu,374500.6703,213899.2189
323039,NULL,Unit (silver),AgCu,421000.6689,196000.2296
323040,NULL,Unit (silver),AgCu,374500.5665,213900.4841
323041,NULL,Unit (silver),AgCu,380000.6953,221000.3747
323042,NULL,Unit (silver),AgCu,374499.3577,213899.6641
323043,NULL,Unit (silver),AgCu,374499.2477,213900.5854
323044,NULL,Unit (silver),AgCu,429000.7628,216000.5165
323045,NULL,Unit (silver),AgCu,429000.6497,216000.2688
323047,NULL,Unit (silver),AgCu,374499.8049,213900.5555
323048,NULL,Unit (silver),AgCu,439899.409,176099.9597
323055,ANTED (Dobunni),Unit (silver),AgCu,429000.8346,216000.327
323057,EISV,Unit (silver),AgCu,382000.7062,134999.1365
323058,EISV,Unit (silver),AgCu,381999.762,134999.1191
323060,NULL,Unit (silver),AgCu,378999.4266,80899.60577
323061,NULL,Unit (silver),AgCu,374499.5309,213899.2149
323062,EISV,Unit (silver),AgCu,517699.2442,335799.0702
323065,NULL,Stater (copper alloy),AgCu,366499.1054,298699.1182
323071,BODVOC,Unit (silver),AgCu,406999.8373,225000.8411
323072,BODVOC,Unit (silver),AgCu,412410.6841,191708.6312
323073,ANTED (Dobunni),Unit (silver),AgCu,381999.6529,134999.8733
323079,ANTED (Dobunni),Unit (silver),AgCu,382000.4644,134999.2936
323080,NULL,Unit (silver),AgCu,391250.0184,163260.8462
323081,NULL,Unit (silver),AgCu,391249.4924,163259.1329
323082,NULL,Unit (silver),AgCu,382499.0416,160200.1204
323084,EISV,Unit (silver),AgCu,480299.3571,250500.5085
323087,NULL,Quarter Stater (copper alloy),AgCu,431699.2476,159400.2349
323088,NULL,Unit (silver),AgCu,411000.4444,193000.4191
323098,NULL,Half unit (silver),AgCu,354400.1179,155299.9734
323099,NULL,Unit (silver),AgCu,438899.3983,201199.3544
323104,NULL,Unit (silver),AgCu,382000.1725,135000.4992
323108,NULL,Unit (silver),AgCu,354999.1717,91500.17383
323112,ANTED (Dobunni),Stater (copper alloy),AgCu,381999.6589,134999.1183
323115,EISV,Unit (silver),AgCu,384999.4249,154000.4354
323116,EISV,Unit (silver),AgCu,394999.5888,244000.7586
323117,EISV,Unit (silver),AgCu,381999.6257,134999.651
323126,NULL,Unit (silver),AgCu,411999.9427,191000.0973
323127,BODVOC,Unit (silver),AgCu,438899.3769,201199.1218
323130,NULL,Unit (silver),AgCu,354499.8135,132200.0222
323156,NULL,Unit (silver),AgCu,374500.0987,213899.7124
323158,ANTED (Dobunni),Unit (silver),AgCu,381999.8219,135000.846
323168,NULL,Unit (silver),AgCu,381999.4206,134999.9943
323169,NULL,Unit (silver),AgCu,447999.7087,175999.0513
323170,NULL,Unit (silver),AgCu,401199.8421,147899.7759
323173,NULL,Unit (silver),AgCu,382000.5467,135000.8489
323174,NULL,Unit (silver),AgCu,393699.0418,168799.8653
323175,NULL,Unit (silver),AgCu,427000.4797,80799.76017
323178,NULL,Unit (silver),AgCu,399000.3556,222000.9923
323179,NULL,Unit (silver),AgCu,460999.1979,195999.6496
323180,NULL,Unit (silver),AgCu,381999.5104,134999.0167
323183,NULL,Unit (silver),AgCu,369999.1933,199999.6718
323184,NULL,Unit (silver),AgCu,381999.2357,135000.9774
